                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.66374,                 1.0613,                0.52726,                0.96384,                0.86552,                0.95725,                0.95521,                 0.8134,                0.91579,                0.89088,                0.90665,                  0.703,                0.66529,                 1.8067,                0.47607,                0.91095,                0.00604,                0.00604,                0.00604
                     82,                0.63312,                 1.0533,                0.51238,                0.95524,                0.92944,                0.90749,                0.95558,                0.81222,                0.92698,                0.90354,                0.90389,                 0.6987,                0.65596,                 1.4161,                0.48368,                0.90946,              0.0059905,              0.0059905,              0.0059905
                     83,                0.64062,                 1.1264,                0.53456,                 0.9668,                0.89029,                0.90899,                0.93934,                  0.796,                 0.8578,                0.87089,                0.89133,                0.68535,                0.65581,                 1.6273,                0.50921,                0.91064,               0.005941,               0.005941,               0.005941
                     84,                0.64069,                 1.1513,                0.51659,                  0.953,                0.86516,                0.95801,                0.93495,                0.78948,                0.83118,                0.89087,                0.88568,                0.68609,                0.66656,                 1.5389,                0.50907,                 0.9166,              0.0058915,              0.0058915,              0.0058915
                     85,                0.63526,                  1.056,                0.52512,                0.97467,                0.87836,                0.89214,                0.92439,                0.76894,                 0.8541,                0.85532,                0.86933,                0.65804,                0.67743,                 1.6858,                0.51457,                0.91664,               0.005842,               0.005842,               0.005842
                     86,                0.67251,                 1.2074,                0.54461,                0.97753,                0.84566,                0.91409,                0.92475,                 0.7695,                0.84035,                0.89158,                0.88713,                0.68374,                0.66328,                 1.3853,                0.50161,                0.91404,              0.0057925,              0.0057925,              0.0057925
                     87,                0.67101,                 1.0258,                0.55212,                0.96811,                0.85656,                0.88424,                0.90351,                0.76309,                0.87571,                0.85013,                0.87365,                0.65752,                0.64681,                 1.5343,                0.49123,                0.90668,               0.005743,               0.005743,               0.005743
                     88,                0.63786,                   1.04,                0.51987,                0.95959,                0.80817,                0.86867,                0.89195,                0.73135,                0.80692,                0.79816,                0.82943,                0.64045,                0.65951,                 1.4504,                0.56666,                0.91983,              0.0056935,              0.0056935,              0.0056935
                     89,                 0.6557,                 1.1101,                0.56052,                0.97615,                0.91749,                0.91298,                0.93432,                0.79269,                 0.8774,                0.86943,                0.87661,                0.68511,                0.64798,                 1.7992,                0.49595,                0.91509,               0.005644,               0.005644,               0.005644
                     90,                 0.6149,                 1.0173,                0.51695,                0.96826,                0.85138,                0.92028,                 0.9253,                0.78067,                0.85605,                0.84836,                0.88044,                0.68038,                0.65388,                 1.8271,                0.52666,                0.92185,              0.0055945,              0.0055945,              0.0055945
                     91,                0.63517,                 1.0617,                0.52484,                0.94743,                0.85783,                0.88275,                0.90099,                0.77829,                0.86556,                0.83899,                0.86814,                0.67681,                0.62482,                 1.4231,                0.57638,                 0.8894,               0.005545,               0.005545,               0.005545
                     92,                0.62431,                 1.0846,                0.50314,                0.97203,                0.86145,                0.90812,                0.90904,                0.78401,                0.82701,                0.88002,                0.86795,                0.68149,                0.66673,                 1.6733,                0.59494,                 0.8965,              0.0054955,              0.0054955,              0.0054955
                     93,                0.63099,                0.99602,                 0.5541,                0.96689,                0.82858,                0.88761,                0.89454,                0.77045,                0.80345,                0.87033,                0.86461,                0.67831,                0.64604,                 1.3638,                0.65054,                0.88467,               0.005446,               0.005446,               0.005446
                     94,                0.61615,                 1.0524,                0.50257,                0.94575,                0.92036,                0.86597,                0.91579,                0.79789,                0.82951,                0.82093,                0.84563,                0.68309,                0.61262,                 1.7114,                0.51331,                 0.8819,              0.0053965,              0.0053965,              0.0053965
                     95,                0.63423,                 1.0444,                0.52712,                0.98855,                0.91697,                0.86118,                0.90863,                 0.7858,                0.97695,                0.83196,                0.86781,                0.68596,                0.61997,                 1.4061,                0.54668,                0.87366,               0.005347,               0.005347,               0.005347
                     96,                0.65238,                 1.0778,                0.53008,                0.95175,                0.92478,                0.87981,                0.93038,                0.79812,                0.81756,                0.88593,                0.87569,                0.67593,                0.62797,                 1.3914,                0.55322,                  0.879,              0.0052975,              0.0052975,              0.0052975
                     97,                0.66899,                 1.1609,                0.56237,                0.96577,                0.86656,                0.90948,                0.92438,                0.78882,                0.83206,                0.88647,                0.87633,                0.67156,                0.62852,                 1.3885,                0.58378,                0.89609,               0.005248,               0.005248,               0.005248
                     98,                0.64589,                 1.2258,                 0.5157,                0.95743,                0.85362,                0.92075,                0.91787,                0.77594,                0.83183,                0.89591,                0.86697,                0.64308,                0.63364,                 1.4569,                0.63125,                0.90003,              0.0051985,              0.0051985,              0.0051985
                     99,                0.64123,                 1.1498,                0.50472,                0.95805,                0.83472,                0.93362,                0.90298,                0.77458,                0.80777,                0.87656,                0.83792,                0.64139,                0.64898,                 1.5893,                0.54324,                0.91289,               0.005149,               0.005149,               0.005149
                    100,                0.61982,                0.98336,                0.50372,                0.94453,                0.82546,                0.92522,                0.91301,                0.77424,                0.78725,                0.85201,                0.82948,                0.64783,                 0.6458,                  1.706,                0.56007,                0.89956,              0.0050995,              0.0050995,              0.0050995
